id	group	view_or_surface	scenario	raw_source	review_asset	status	release_surface	notes
health-metric-basal	Health	Metric detail basal metabolic rate	ScreenshotLocalOnlyMetricScenario	Docs/Screenshots/Health/metric_detail_basal_metabolic_rate_light.png	Docs/Screenshots/Health/cropped/metric_detail_basal_metabolic_rate_light.png	captured, quality review pending	UI Gallery	Contact sheet approval required before rendering.
health-blood-pressure	Health	Blood pressure dashboard	ScreenshotBloodPressureDashboardScenario	Docs/Screenshots/Health/blood_pressure_dashboard_light.png	Docs/Screenshots/Health/cropped/blood_pressure_dashboard_light.png	captured, quality review pending	UI Gallery	Contact sheet approval required before rendering.
health-body-composition	Health	Body composition dashboard	ScreenshotBodyCompositionDashboardScenario	Docs/Screenshots/Health/body_composition_dashboard_light.png	Docs/Screenshots/Health/cropped/body_composition_dashboard_light.png	captured, quality review pending	UI Gallery	Contact sheet approval required before rendering.
health-cross-metric	Health	Cross metric dashboard	ScreenshotCrossMetricDashboardScenario	Docs/Screenshots/Health/cross_metric_dashboard_light.png	Docs/Screenshots/Health/cropped/cross_metric_dashboard_light.png	captured, quality review pending	UI Gallery	Contact sheet approval required before rendering.
sleep-recording	Sleep	Sleep recording	ScreenshotRecordingScenario	Docs/Screenshots/Sleep/sleep_recording_light.png	Docs/Screenshots/Sleep/cropped/sleep_recording_light.png	blocked, recapture required	UI Gallery	Unrealistic duration and mixed completed/capturing state; recapture before rendering.
edge-zero-event	EdgeStates	Zero-event report	ScreenshotZeroEventScenario	Docs/Screenshots/EdgeStates/zero_event_report_light.png	Docs/Screenshots/EdgeStates/cropped/zero_event_report_light.png	captured, quality review pending	UI Gallery	Contact sheet approval required before rendering.
edge-low-coverage	EdgeStates	Low audio coverage	ScreenshotLowCoverageScenario	Docs/Screenshots/EdgeStates/low_coverage_report_light.png	Docs/Screenshots/EdgeStates/cropped/low_coverage_report_light.png	captured, quality review pending	UI Gallery	Contact sheet approval required before rendering.
edge-event-audio-off	EdgeStates	Event audio storage off	ScreenshotEventAudioStorageOffScenario	Docs/Screenshots/EdgeStates/event_audio_storage_off_light.png	Docs/Screenshots/EdgeStates/cropped/event_audio_storage_off_light.png	captured, quality review pending	UI Gallery	Contact sheet approval required before rendering.
edge-health-permission-empty	EdgeStates	Health permission empty	ScreenshotHealthPermissionEmptyScenario	Docs/Screenshots/EdgeStates/health_permission_empty_light.png	Docs/Screenshots/EdgeStates/cropped/health_permission_empty_light.png	captured, quality review pending	UI Gallery	Contact sheet approval required before rendering.
edge-metric-detail-empty	EdgeStates	Metric detail empty	ScreenshotMetricDetailEmptyScenario	Docs/Screenshots/EdgeStates/metric_detail_empty_light.png	Docs/Screenshots/EdgeStates/cropped/metric_detail_empty_light.png	captured, quality review pending	UI Gallery	Contact sheet approval required before rendering.
edge-cross-metric-insufficient	EdgeStates	Cross metric insufficient	ScreenshotCrossMetricInsufficientScenario	Docs/Screenshots/EdgeStates/cross_metric_insufficient_light.png	Docs/Screenshots/EdgeStates/cropped/cross_metric_insufficient_light.png	captured, quality review pending	UI Gallery	Contact sheet approval required before rendering.
privacy-settings	Privacy	Privacy settings	ScreenshotPrivacyScenario	Docs/Screenshots/Privacy/privacy_settings_light.png	Docs/Screenshots/Privacy/cropped/privacy_settings_light.png	captured, quality review pending	UI Gallery	Contact sheet approval required before rendering.
privacy-onboarding	Privacy	Onboarding	ScreenshotOnboardingScenario	Docs/Screenshots/Privacy/onboarding_light.png	Docs/Screenshots/Privacy/cropped/onboarding_light.png	captured, quality review pending	UI Gallery	Contact sheet approval required before rendering.
privacy-device-placement	Privacy	Device placement guide	ScreenshotDevicePlacementScenario	Docs/Screenshots/Privacy/device_placement_guide_light.png	Docs/Screenshots/Privacy/cropped/device_placement_guide_light.png	captured, quality review pending	UI Gallery	Contact sheet approval required before rendering.
privacy-calibration	Privacy	Calibration	ScreenshotCalibrationScenario	Docs/Screenshots/Privacy/calibration_light.png	Docs/Screenshots/Privacy/cropped/calibration_light.png	captured, quality review pending	UI Gallery	Contact sheet approval required before rendering.
debug-audio	Debug	Audio debug	ScreenshotAudioDebugScenario	Docs/Screenshots/Debug/audio_debug_light.png	Docs/Screenshots/Debug/cropped/audio_debug_light.png	internal-only, quality review pending	DEBUG only	Do not render in README or App Store material.
debug-sample	Debug	Sample capture	ScreenshotSampleCaptureScenario	Docs/Screenshots/Debug/sample_capture_light.png	Docs/Screenshots/Debug/cropped/sample_capture_light.png	internal-only, quality review pending	DEBUG only	Do not render in README or App Store material.
debug-replay	Debug	Dataset replay	ScreenshotDatasetReplayScenario	Docs/Screenshots/Debug/dataset_replay_light.png	Docs/Screenshots/Debug/cropped/dataset_replay_light.png	internal-only, quality review pending	DEBUG only	Do not render in README or App Store material.
debug-detector	Debug	Detector tuning	ScreenshotDebugScenario	Docs/Screenshots/Debug/detector_tuning_light.png	Docs/Screenshots/Debug/cropped/detector_tuning_light.png	internal-only, quality review pending	DEBUG only	Do not render in README or App Store material.
detail-trend	Home	Trend dashboard	ScreenshotTrendDashboardScenario	Docs/Screenshots/Home/trend-dashboard.png	Docs/Screenshots/Home/cropped/trend-dashboard.png	captured, quality review pending	UI Gallery	Simulator recaptured; contact sheet approval required before rendering.
detail-morning-checkin	Sleep	Morning check-in	ScreenshotMorningCheckInScenario	Docs/Screenshots/Sleep/morning-check-in.png	Docs/Screenshots/Sleep/cropped/morning-check-in.png	captured, quality review pending	UI Gallery	Simulator recaptured; contact sheet approval required before rendering.
detail-evening-checkin	Daily Rhythm	Evening check-in	ScreenshotEveningCheckInScenario	Docs/Screenshots/DailyRhythm/evening-check-in.png	Docs/Screenshots/DailyRhythm/cropped/evening-check-in.png	captured, quality review pending	UI Gallery	Simulator recaptured; contact sheet approval required before rendering.
detail-card-export	Daily Rhythm	Daily Health Card export preview	ScreenshotDailyHealthCardExportScenario	Docs/Screenshots/DailyRhythm/daily-health-card-export-preview.png	Docs/Screenshots/DailyRhythm/cropped/daily-health-card-export-preview.png	captured, quality review pending	UI Gallery	Simulator recaptured; contact sheet approval required before rendering.
detail-report-empty	EdgeStates	Report empty state	ScreenshotReportEmptyScenario	Docs/Screenshots/EdgeStates/report-empty.png	Docs/Screenshots/EdgeStates/cropped/report-empty.png	captured, quality review pending	UI Gallery	Simulator recaptured; contact sheet approval required before rendering.
debug-simulator	Debug	Simulator scenario view	ScreenshotSimulatorScenario	Docs/Screenshots/Debug/simulator-scenario.png	Docs/Screenshots/Debug/cropped/simulator-scenario.png	internal-only, quality review pending	DEBUG only	Simulator recaptured; do not render in README or App Store material.
